Species,Region-Main,Region-Sub,EOO_sqKm,DEL3,DEL2,DEL1,IUCNStatus,DomatiaScoreTotal,InteractionCount,PlastPetLen,PlastLLen,PlastPULA,PlastVein,PlastLLob,Plasticity SLA,Average Plasticity,PlastTot,RankAICc,IUCNLowRes,Average Survey Score
marilandica,E,,1937738.46,35,12,5,LC,5,NA,0.481481481,0.363057325,0.464543684,0.503374997,0.237112269,0.201900264,5.731889366,7.717096658,17.61681555,LC,3.428571429
coccinea,E,,1910764.84,36,10,5,LC,5,0,0.564660691,0.423423423,0.434747768,0.666502557,0.539931873,0.694902981,6.721275139,9.918873748,18.77701087,LC,
shumardii,E,,1861301.08,36,10,4,LC,5,0,0.407008086,0.392491468,0.673063385,0.098525753,0.609421129,0.753144886,8.700463288,12.14501337,19.18045165,LC,2.333333333
stellata,E,,1734020.39,37,10,4,LC,8,0,0.6,0.383512545,0.404816051,0.655457578,0.338869156,0.785248685,2.499554342,5.350869935,19.24359246,LC,2.857142857
palustris,E,,1879601.21,44,12,6,LC,5,0,0.75,0.51,0.421515391,0.368181915,0.217470359,0.797167838,8.37044432,11.28406827,16.13026569,LC,2.285714286
velutina,E,,2708764.09,45,12,4,LC,5,0,0.565756824,0.4375,0.395274248,0.53769523,0.556795226,0.78791011,2.119362163,5.419393797,14.06825192,LC,2.666666667
alba,E,,3463722.05,47,13,6,LC,6,0,0.91902834,0.536144578,0.583984695,0.727585253,0.614601905,0.821430338,1.853323053,5.943114814,9.391957805,LC,1.888888889
muehlenbergii,E,,2859639.27,52,15,8,LC,3,4,0.393939394,0.391304348,0.466906555,0.505167821,0.119855295,0.108684077,1.667252905,3.267797869,9.381279665,LC,2.285714286
rubra,E,,4087949.24,54,14,8,LC,4,0,0.84496124,0.628318584,0.534086418,0.7878318,0.421506384,0.752592975,5.652375275,9.25534726,7.999217879,LC,1.625
macrocarpa,E,,3822311.86,59,17,7,LC,7,NA,0.791044776,0.442359249,0.568136005,0.60350139,0.182309984,0.503250839,1.476778971,4.146189808,8.845927107,LC,2.25
